genre,count
Movies,4265.0
TV Shows,1969.0
International Movies,1927.0
Dramas,1623.0
Comedies,1113.0
International TV Shows,1001.0
Documentaries,668.0
TV Dramas,599.0
Action & Adventure,597.0
Independent Movies,552.0
TV Comedies,436.0
Thrillers,392.0
Children & Family Movies,378.0
Romantic Movies,376.0
Crime TV Shows,363.0
Kids' TV,328.0
Stand-Up Comedy,281.0
Docuseries,279.0
Romantic TV Shows,278.0
Horror Movies,262.0
Music & Musicals,243.0
British TV Shows,210.0
Sci-Fi & Fantasy,193.0
Sports Movies,157.0
Reality TV,153.0
Korean TV Shows,132.0
TV Action & Adventure,126.0
Anime Series,117.0
Spanish-Language TV Shows,117.0
Classic Movies,84.0
TV Mysteries,69.0
TV Sci-Fi & Fantasy,68.0
Science & Nature TV,67.0
LGBTQ Movies,60.0
Cult Movies,55.0
TV Horror,54.0
Faith & Spirituality,47.0
Anime Features,45.0
TV Thrillers,44.0
Teen TV Shows,44.0
Stand-Up Comedy & Talk Shows,42.0
Classic & Cult TV,24.0
